,7SK RNA-LARP7,MS2 Coat,VP30-Leader,ToxIN,ppp
3dRPC,,,,,0
aaRNA,1.5,2,0,1.5,+
aPRBind,,,,,0
beRBP,,,,,0
catRAPID,1,1,1,1,-
COACH,2,4,2,2,+
DeepCLIP,1,,,,+
DeepSite,1.5,1,0,3,-
DRNApred,0,0,0,0,+
GraphBind,,,,,0
hybridNAP,1,3,1,1,+
IPMiner,,,,,0
KYG,1,1,0,1,+
MEME,2,1,1,1,+
NucleicNet,2,1,0,1.5,-
OPRA,2,1,2,2,+
PLIP,4,3,,4,+
PredPRBA,1,1,,1,+
PRIdictor,0.5,1,2,1,-
PRIHotscore,3,3,,3,+
PRIME3D2D,,,,,0
PRince,,,,,0
RBPmap,,,,,0
RBPPred,1,1,1,0,+
RPISeq,0.5,2,1,0.5,+
RSiteDB,,,,,0
XRPI,1,2,1,0.5,+
